Smooth Jazz Florida	http://us4.internet-radio.com:8266/stream	0
1000 HITS Love	http://91.121.155.204:8097/stream	15
Merge 104.8	http://uk7.internet-radio.com:8040/stream	15
The Office Mix	http://shoutcast-new.cdnstream.com:80/	0
Radio X-MAS	http://77.75.16.229:443/	20
LOVETIMES	https://c15.radioboss.fm:18152/stream	0
Top Fiesta	http://strm112.1.fm:80/spanishparty_mobile_aac	4
Frecuencia	http://192.99.0.170:5873/stream	0
ABC Lounge Music	http://str1.openstream.co:80/589	0
Schizoid - Chillout	http://94.130.113.214:8000/chill	10
Christmas Radio Live	http://rosetta.shoutca.st:8232/stream	10
1980s.FM	http://hi5.1980s.fm:80/;	16
Christmas FM North Pole	http://christmasfm.cdnstream1.com:80/2548_128.mp3	0
Christmas Lovers	http://rautemusik-de-hz-fal-stream12.radiohost.de:80/christmas	0
Intra Nature	http://104.251.118.50:8793/;	0
Sleep Radio FM	https://laservox.com:443/radio/8030/radio.mp3	18
HiFi 80s	https://13683.live.streamtheworld.com:443/SAM03AAC226_SC?hifi80slive	0
Ambient Modern	http://s.stereoscenic.com:80/mod-s.pls	0
RelaxZone	http://radio4.vip-radios.fm:8045/stream-128kAAC-RelaxZone	0
Majestic Jukebox Radio	http://uk3.internet-radio.com/proxy/majesticjukebox?mp=/live	0
Smooth Jazz Florida Christmas	https://us1.internet-radio.com:443/proxy/wsjfxmas?mp=/stream;	0
morenamulher	https://morenamulher.radioca.st:443/stream	0
Radio Paradise	http://stream.radioparadise.com/aac-320	0
Radio Zeleni val	http://37.187.93.104:8844/stream/1/	40
Relax FM	https://pub0301.101.ru:8443/stream/air/mp3/256/200	0
Classic Hits Global HD	https://us2.internet-radio.com/proxy/chglobal?mp=/stream;	20
Live Hits	https://pub0202.101.ru:8443/stream/pro/aac/64/86	0
Пение птиц	https://str1.pcradio.ru/song_bird-med	0
Paris FM Retro	http://node-17.zeno.fm/eem9by9d7a0uv.aac	0
Radio Felichita	https://node-24.zeno.fm/xmyzzwchntzuv	0
Radio Felichita Retro	http://fffutu.re/Retro	0
Radio FFH	http://mp3.ffh.de/radioffh/hqlivestream.mp3	30
